UCKyTokYo0nK2OA-az-sDijA;2300000;2023-10-19;1
UC9VWyvdF-91McG6kt27MeKA;908000;2023-10-23;1
UCHaHD477h-FeBbVh9Sh7syA;5740000;2023-10-23;1
UC8Pf05sl4A071UXfx_NY4qg;731000;2023-10-23;1
UCshoy95dEwB5V3FYcmvadLQ;886000;2023-10-23;1
UCicjynhfFw2LiIQFnoS1JTw;7060000;2023-10-23;1
UCKEKf35apTUvSLs-c1DCekw;743000;2023-10-23;1
UCeTVoczn9NOZA9blls3YgUg;7630000;2023-10-23;1
UCKjJXmZxk1SiTUQUB28KHpw;12000000;2023-10-23;1
UCrecfWERZb6mMnHxK3x_rWw;115000;2023-10-23;1
UCcsV-nYdZRJg-l9mbdJNgHw;307000;2023-10-23;1
UCMY7ZvLB6-DnuSis_2s37_A;2070000;2023-10-23;1
fnpyx1AKAUc;1020000;2023-10-23;1
0DpG462Otyo;2750000;2023-10-23;1
fnpyx1AKAUc;1020000;2023-10-24;1
UCLwivhATgumILHTf04RqpmA;832000;2023-10-28;1
0DpG462Otyo;2750000;2023-10-28;1
fnpyx1AKAUc;1020000;2023-10-29;1
0DpG462Otyo;2750000;2023-10-29;1
